
[32;1m  Id     Duration CommandLine[0m
[32;1m  --     -------- -----------[0m
 105        0.277 curl -X POST -H "Authorization: token ${github_key}" https://api.github.com/orgs/${orgName}/hooks -d '{"name":"${webhookName}","config":{"url":"${listenerUrl}","content_type":"json"}}'
 106        0.053 cvks
 107        0.002 cls
 108        0.007 $url = "https://api.github.com/orgs/${orgName}/hooks"
 109        0.037 $stuff = Invoke-RestMethod -Uri $url -Method Get -Token $github_key
 110        0.028 $stuff = Invoke-RestMethod -Uri $url -Method Get -Authentication $github_key
 111        0.228 $stuff = Invoke-RestMethod -Uri $url -Method Get -Headers @{'Authorization' = 'token ${github_key}'} 
 112        0.024 $stuff = Invoke-RestMethod -Uri $url -Method Get -Headers @{'Authorization' = '${github_key}'} 
 113        0.074 ec$url = "https://api.github.com/orgs/${orgName}/hooks"
 114        0.182 $stuff = Invoke-RestMethod -Uri $url -Method Get -Headers @{'Authorization' = 'token ${github_key}'} 
 115        0.001 $url = "https://api.github.com/orgs/${orgName}/hooks"
 116        0.216 $stuff = Invoke-RestMethod -Uri $url -Method Get -Headers @{'Authorization' = 'token ${github_key}'} 
 117        0.002 cls
 118        0.024 $stuff = Invoke-RestMethod -Uri $url -Method Get -Authentication "token ${github_key}"
 119        0.024 $stuff = Invoke-RestMethod -Uri $url -Method Get -Authentication "Bearer ${github_key}"
 120        0.028 $stuff = Invoke-RestMethod -Uri $url -Method Get -Authentication "Bearer ${github_key}" -Token "${github_key}"
 121        0.019 $stuff = Invoke-RestMethod -Uri $url -Method Get -Authentication "Bearer" -Token "${github_key}"
 122        0.025 $github_key_secured = ConvertTo-SecureString -String $github_key
 123        0.021 $github_key_secured = ConvertTo-SecureString -String "${github_key}"
 124        4.787 ConvertTo-SecureString
 125        0.008 $github_key_secured = ConvertTo-SecureString -String "${github_key}" -AsPlainText
 126        0.028 $stuff = Invoke-RestMethod -Uri $url -Method Get -Authentication "Bearer" -Token "${github_key_secured}"
 127        0.002 cls
 128        0.007 $github_key_secured = ConvertTo-SecureString -String "${github_key}" -AsPlainText -Force
 129        0.017 $stuff = Invoke-RestMethod -Uri $url -Method Get -Authentication "Bearer" -Token "${github_key_secured}"
 130        0.001 $github_key_secured = ConvertTo-SecureString -String "${github_key}" -AsPlainText -Force
 131        0.006 echo $github_key_secured
 132        0.002 cls
 133        0.021 $stuff = Invoke-RestMethod -Uri $url -Method Get  -Token "${github_key_secured}"
 134        0.234 $stuff = Invoke-RestMethod -Uri $url -Method Get -Headers @{'Authorization' = 'token ${github_key}'} 
 135        0.259 $stuff = Invoke-RestMethod -Uri $url -Method Get -Headers @{'Authorization' = 'token ${github_key}'} -Verbose
 136        0.050 Get-History

